"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","402.41","403.00","403.50","401.00","","0.10%"
"10/01/2023","402.00","393.40","429.50","390.50","","1.45%"
"09/01/2023","396.25","385.78","396.25","384.05","","2.98%"
"08/01/2023","384.78","386.14","388.40","384.89","","-0.09%"
"07/01/2023","385.14","386.06","390.60","385.01","","0.02%"
"06/01/2023","385.06","386.62","388.14","384.30","","-0.15%"
"05/01/2023","385.62","386.64","389.40","384.50","","-0.01%"
"04/01/2023","385.64","388.30","392.60","385.12","","-0.43%"
"03/01/2023","387.30","389.30","391.25","386.73","","-0.26%"
"02/01/2023","388.30","396.25","397.91","388.53","","-2.01%"
"01/01/2023","396.25","393.57","397.92","391.89","","1.08%"
"12/01/2022","392.00","395.12","397.45","392.08","","-0.54%"
"11/01/2022","394.12","401.80","406.20","392.50","","-1.91%"
"10/01/2022","401.80","405.65","414.00","393.83","","-0.70%"
"09/01/2022","404.65","404.56","419.15","402.68","","0.27%"
"08/01/2022","403.56","407.71","408.36","401.20","","-0.77%"
"07/01/2022","406.71","407.21","418.60","402.70","","0.12%"
"06/01/2022","406.21","448.18","448.39","406.05","","-9.16%"
"05/01/2022","447.18","453.26","474.35","446.58","","-1.12%"
"04/01/2022","452.26","485.91","485.91","451.63","","-6.73%"
"03/01/2022","484.91","481.25","519.84","479.40","","1.13%"
"02/01/2022","479.50","483.00","485.51","477.14","","-0.10%"
"01/01/2022","480.00","480.00","484.80","477.80","","0.21%"
"12/01/2021","479.00","486.63","496.70","478.05","","-1.29%"
"11/01/2021","485.25","475.20","488.02","473.24","","2.33%"
"10/01/2021","474.20","488.50","490.85","473.42","","-2.73%"
"09/01/2021","487.50","493.12","494.48","483.50","","-0.94%"
"08/01/2021","492.12","486.24","494.36","486.12","","1.42%"
"07/01/2021","485.24","495.86","498.95","482.32","","-1.94%"
"06/01/2021","494.86","520.61","521.53","494.68","","-4.76%"
"05/01/2021","519.61","520.69","523.95","519.77","","-0.02%"
"04/01/2021","519.69","529.25","535.11","519.17","","-1.67%"
"03/01/2021","528.50","527.75","529.25","523.74","","0.57%"
"02/01/2021","525.50","518.27","527.98","517.33","","1.64%"
"01/01/2021","517.00","522.25","528.04","517.58","","-0.48%"
"12/01/2020","519.50","506.75","525.25","505.15","","3.18%"
"11/01/2020","503.50","493.60","509.20","492.17","","2.21%"
"10/01/2020","492.60","487.00","494.68","486.77","","1.73%"
"09/01/2020","484.20","487.20","490.40","483.70","","-0.41%"
"08/01/2020","486.20","485.33","488.07","483.60","","0.39%"
"07/01/2020","484.33","482.35","487.92","481.45","","0.62%"
"06/01/2020","481.35","483.90","485.05","478.48","","-0.32%"
"05/01/2020","482.90","479.25","489.45","479.10","","0.97%"
"04/01/2020","478.25","501.75","502.95","478.63","","-4.45%"
"03/01/2020","500.50","478.58","502.80","478.02","","4.93%"
"02/01/2020","477.00","478.58","479.85","476.85","","0.21%"
"01/01/2020","476.00","479.00","480.95","477.50","","-0.42%"
"12/01/2019","478.00","477.88","480.40","475.50","","0.42%"
"11/01/2019","476.00","476.25","479.10","475.25","","0.32%"
"10/01/2019","474.50","476.00","478.15","474.65","","-0.11%"
"09/01/2019","475.00","476.11","477.95","475.30","","-0.02%"
"08/01/2019","475.11","475.80","476.90","474.86","","0.07%"
